Name,Stars,Review
Mahetab Mostafa Emam,4,حجمها كان صغير
Mahetab Mostafa Emam,3,البيتزا مش مستويه كويس ومش مرشوش عليها زعتر من فوق زي كل مره
Muhammad Abolfotouh,3,The order took about 2 hours to get delivered I called the driver and he said he was waiting for the order for more than 1 hour
Neveen Gadou,4,delivery took so long
Sharabota 87,1,order came and coffee was down from driver and he said he can take it as it's his fault but he will not come back again
Mahetab Mostafa Emam,4,البيتزا جاتلي من غير التعديل الي طلبته
Mahetab Mostafa Emam,3,البطاطس كانت حمضانه والفراخ مش متبله حلو
Tarek Nabil Salem,2,Price too much vs value! Taste good but expensive!!
Mahetab Mostafa Emam,5,الفراخ مش متبله
mariam,1,wrong order
Mahetab Mostafa Emam,5,الاكل بارد بردوا بس طبعا الطعم تحفه
Mahetab Mostafa Emam,5,طعم تحفه طبعا بس الاكل كان جي بارد
Habiba Ahmmed,3,البرجر كان بارد و غير طازج مش زي كل مرة
Tamer,1,Burger was raw and not cooked well done Pink
Menna Tarabia,3,the pizza came without mushroom although I added it for extra charge unacceptable
Sahar Magdy,2,Cold food very bad frappe
rania,3,O
Youssef Michel,3,I've requested my sandwich without onions and lettuce and that's didn't happen
Logy,1,The food wasn’t hot at all
Alaa Magdy,1,wrong order
Manar,5,ممتاز
eman galal,5,Please have more tune melt sandwiches! 🥺
Aliaa Yousry,3,كانت مقلوبة و سايحة على بعضها
Gihan Nassar,1,منتهى الاستهتار الطلب متأخر ساعة وربع والأكل وصل بارد ده كان اول تعامل مع مينيوس للاسف تجربة سيئة ولا انصح بالتجربة
Maii Sabry,2,
Omar Darwish,1,"So I ordered my usual dine in and asked for onion only but somehow it was misunderstood and removed the mushrooms, bacon and cheese as well from the sandwich - if I wanted to pay for a hundred sth beef sandwich I’d have made it myself"
Rana ELhagam,3,It was cold burger and the fries wasn’t fresh
Mariam Hesham,5,Delivery is soo latee
Dina Adel,1,Sandwich was cold
Zeina Hazem,1,"I ordered classic burger & fries but instead i received kids meal and it arrived after 90 minutes, last time ordering"
Zainab Hamed,1,the taste wasn't good like before
May m,4,special request not taking into consideration from Bruxies side
Nour,5,Amazing
sarah ashraf,3,الاوردر وصل متاخر جدا والتاخير من المطعم و الحجم كان صغير جدا
