Name,Stars,Review
M. Gomaa,1,للأسف زيت الفراخ طعمه مستخدم كتير وخلى الفراخ طعمها زي الفلافل حرفيا مع طعم زفارة .. البطاطس اللي كانت جيدة في الاوردر
Ahmed Taymour,1,طلبتة اوب مرة و طلبت الفراخ تكون صدور الاوردر جه حلو جدا و سخن و نظيف طلبتة تاني بعدها بأسبوع و طلبت صدور الفراخ كلها جت وراك + انها مكنتش نضيفة من جوة و الاوردر بارد حاجة سيئة للغاية الصراحة عكس التوقعات خالص
Moaaz Roshdy,4,الاكل كان كويس جدا وطعم والتتبيله حلو جدا والفراخ نظيف جدا و كمية كويسة جدا وريزو ال spicy جامد جدا
Ner Meen,1,المرة دي مش كويس خالص الكمية قليلة قسمين الورك علي ٣ قطع والبطاطس قليلة جدا غير انه اتاخر ساعتين ونص ولاقيت شعرة مش عارفة بيعاقبوني ولا ايه مع اني بطلب منهم كتير
Hend Ali Khater,3,الفراخ مش كتير في الساندوتش قليل وكلو سلو كنت طلبت الحجم الكبير جالي الكمية صغيره جدا
Zeyad Yakout,3,الفراخ متسخنة مش جاهزة الريزو كويس
Ner Meen,4,اتاخر كتيييييير
Toka Yasser,1,الاكل سئ جدا بجد و كاتبين ٣ قطع فراخ حاطين دبوسين و باقي ورك و الفراخ زرقة من جوه بجد تجربة سيئة
Ayat,5,شكرا ان الاكل كان سخن ومقرمش ونظيف بجد شكرا ليكم
Alaa Khayrat,2,The delivery was too late
fouad,1,I ordered original meal and they sent me spicy one
Hossam Elden,1,الاكل بارد جدا وغير طازج وتاخير غير مبرر في الاوردر
Rowan elgammal,1,الزيت بايت بجد فرخة اكنها اتقلت ميت مرة
Mohamed Nasser El Amrawy,1,Hh
Noran Hussein,4,El fries mesh Ahsan haga:(
Moe Khaled,5,good
Heba Mohamed,1,الفراخ وحشه جدااااا مش مستويه كويس
Ner Meen,5,الديليفيري محترم جدا وزوق جدا وبشوش احرجني من أخلاقه ربنا يكرمه صوص البيج تستي جميل بس المشكله في ان الوجبه فيها جناح مش هطلبها تاني
Karim Harb,1,الملاحظات الي طلبتها متعملتش و كانت حاجه سيئة جداً و حاولت اتواصل مع الدعم و قالولي المطعم هيتواصل معاك قريب و محدش اتواصل
queen,5,كل حاجه بيرفكت 😍
Noha,1,الاكل سئ جدا جدا بدون طعم مفيش تتبيلة للفراخ طالب ساندوتش راب طالعلي فيه دبوس بدل الستربس يعنى حاجه غريبة جدا العيش مش طازه بايت و مفرول بيستخدموا اسوء انواع البيكون عامل زى المطاط باكل حتة استك مش مستوية اخر تعامل مع المطعم الزبالة دة منصحش بيه ا...
queen,5,الكواليتى والاوردر تحفة بجد
Ahmed Abdellatief,1,اكل بارد وجع بطني والعيش كان ني يدوب شم الجريل، والرز بايت وحاجة آخر قرف الحقيقة، معرفش ليه كررت التجربة دي مع انها كل مرة بتبقى سيئة
Yomna Gamal,1,"i ordered 5 stripes pieces (breast), but i received 3 pieces (thighs)"
kareem Mohammed,3,كميات صغيره جدا
Donia,1,الاوردر جه غلط
Aya,3,.
mariam aladdin,1,بيوصل ف ساعتين ليه؟ و اللي تتصل بيهم مستفزين و محدش بسمع كله عنده كلمة عايز يقولها من غير ما يعرف حاجة، وصل بعد ساعتين ونص و مستلمتهوش عشان دا استعباط دا جمب بيتي اصلا
Ner Meen,3,لتاني طالبه الاستربس عادي جالي سبايسي والطفل معرفش ياكله والاكل ناقص ملح وبهارات
Lólý Ahmed,1,الاكل كان مليان زيت ومحروق اوى وطلبت سفن اب جالى بيج كولا
Ezz,3,Chicken was stale. Probably just taken out of the freezer.
Ner Meen,2,الاكل جميل بس الدليفيري اسلوبه زفت وبلطجي وواقفلي ع الربع جنيه وعايز فلوس زيادة
Ahmed Wael Mohamed,1,الاكل موصلش وتمنو مدفوع
Ahmed Kamal,5,ممتاز تسلم ايد الشيف
Shereen EL-Toukhy,5,The dinner strips box sooooo good and soooo delicious
Hebatalla Mostafa,2,الريزو جاي ناشف و بشع و الفراخ مش حلوه ومش وحشه عاديه يعني
Ebtehal Elnoras,1,الاكل وصل متاخر جدا و بارد جدا جدا جدا
Toka Fathalla,2,الفراخ مقلية بريشها
Boudy,5,الدلفري محترم جدا
khaled,3,الخبز قليل وحد بس و بطاطس حبه صغيرنا جدا و كيس كتشب بجد توفير اوي
Noha,1,الاكل سئ جدا جدا بدون طعم مفيش تتبيلة للفراخ طالب ساندوتش راب طالعلي فيه دبوس بدل الستربس يعنى حاجه غريبة جدا العيش مش طازه بايت و مفرول بيستخدموا اسوء انواع البيكون عامل زى المطاط باكل حتة استك مش مستوية اخر تعامل مع المطعم الزبالة دة منصحش بيه ا...
queen,5,الكواليتى والاوردر تحفة بجد
Ahmed Abdellatief,1,اكل بارد وجع بطني والعيش كان ني يدوب شم الجريل، والرز بايت وحاجة آخر قرف الحقيقة، معرفش ليه كررت التجربة دي مع انها كل مرة بتبقى سيئة
