Name,Stars,Review
Mohab,1,جه بعد ٣ سعات
Malaka,3,Preparing time was too long not as stated
Moataz Amin,1,الاوردر لم يصل و اخد اكتر من ساعتين مطعم سيىء جدا
Ahmed,5,لذيذ
Magdy Mohy,3,تأخير فظيع والأكل سته من عشره
Karim Elbadry,5,.
zeyad,1,الطعم مقزز و اللحمه طعمها مقرف و حاجه خره انا اكلته للكلب احسن ما ارميه
Marwa Ahmed Abdel Rahman,3,الطيار قمة في الذوق و الاحترام
saeed mehanna,5,ممتاز
M. Gomaa,3,I recieved all meat instead of Sojouk
Omar,3,تاخير الطلب والطعام بارد
Karim Harb,1,وصل بارد اووي
hame,1,الاوردر اتاخر جدا والاكل كان ساقع اوي وكانش زي كل مرة ان شاء الله اخر مرة اطلب من حواوشينو في الأغلب
Mohamed Elhussein,5,طعمه جيد
Steven George,1,توصيل يقرف اكتر من ساعتين و نص و مجاش
Ahmed,1,الاكل ناقص ومفيش اي متابعة من الادارة واتصلت اكثر من مرة ابلغهم ان الاكل ناقص ولا حياة لمن تنادي
Ahmed,1,الاكل ناقص ومفيش اي متابعة من الادارة واتصلت اكثر من مرة ابلغهم ان الاكل ناقص ولا حياة لمن تنادي
Marwa Ahmed Abdel Rahman,3,طلبت يبقي صوص الرانشي أضافي علي اوردر الاثنين حواوشي جم الاثنين في علبة واحد و معاهم علبة منفصله واحدة لصوص الرانشي انا ما كنتش عايزة كده هو مكتوب اضافات يعني اضافات في الساندوتش نفسه مش ان ظبته انت بمعرفتك بقي و اول مرة يبعتوهم في علبة واحدة كده !
Mohammed,1,الأوردور لم يستلم حتى الأن
Muhammad Osama,4,الاكل جاي ناقص حاجة غريبه جدا جدا جدا
Ehab Atia,2,الاكل بارد
YOUSSEF ADEL,4,العيب إنه بياخد وقت كتير عقبال ما يوصل وال quality مش ثابته دايماً
Mahmoud Mansour,1,bad food experience
Marwan Omran,1,Food was so cold 🥶
Marwan Omran,1,الاكل واصل بارد جدااااا وانا جمب الفرع وشكرا
Hossam Ahmed,5,بس متنسوش تبعتوا جوانتي ويا ريت اي سلطات وطحينة ومناديل مطهرة عشان كذا مره بيجيلي من غير حوانتي
mohamed salem,1,"pls let the delivery have more money changes , as everytime i order from you , i face this with your delivery , He returns part of the changes and says i do not have more changes..which refelects bad image about you.."
Gehad Alaa,1,بششعععع
Mohab,5,مية مية بس صغير
Mahmoud ELsayed,3,الاكل بارد
Sherine Reda,4,its very small but tasted good
Amr Fawzii,1,خدمه سيئه عدى اكتر من ساعه و نص و الاكل مجاش و محدش في المطعم مهتم
Hossam Gemaei,4,حلو
Basma Dorgham,3,لااسف العيش طري مش مقرمش زي ما هو مفروض يكون
mahmoud eltoudy,1,جه أوردر غلط وارخص
W,2,It took over an hour to deliver 2 sandwiches.
Marwa,1,الاكل بشششششع بشع .. وحش جدا العيش باااااايت ووحش جداا جدا والسدق ملوش طعم
Nermeen Radwan,1,طلبت الجامبو وجالس صغير جدا والحشو مش زياده ولا حاجه وقعدت ساعتين عقبال ما وصل
Nour,1,didn't receive the extra cheese as I ordered
Hatem Mohamed,1,Tahina was expired
Ehab Atia,2,الاكل بارد
