Name,Stars,Review
marwa said,1,الاوردر وصل ناقص واحده فته شاورما ميكس بعد منتظرت التوصيل اكتر من ساعة وكان موقف وحش جدااا
marina,1,الاكل مقلوب علي بعض
Yazed,1,الاكل زي التاجججج
Ahmed Essam,1,Cold
shery esmail,5,الاكل كان حلو جدا و الجوده كانت تحفه بصراحه
Ziad,3,Fries aren’t fresh like before
Hanan Eid,1,الاكل كله محطوط فوق بعضه فى العلبة المفروض تحطو فى علب صغيرة داخل العلبة الكبيرة
Amir Ashraf,3,idk why prices on app doesn't match what he collects from me
Wafaa Sayed,2,crpe very bad
Emy Ahmed,5,حلو
Hazem,5,ممتاز
omar,5,شكراً……
adel hakim,1,الطعم مكنش كويس والاكل بارد
samah,1,للاسف تجرية سيئة.. اولا: السندويش كلها خبز... كمية الشاورما قليلة جدا... ثانيا؛الفاتورة من المطعم ب 151جنيه بينما في التطبيق كانت الفاتورة 126جنيه.. تجربة لن تعاد
Nadine Ayman,2,الكريب الخضار فيه دبلان و كمية كاتشب رهيبة مغيرة الطعم وطعمها فيه لذعان و العجينة ناشفة و سميكة عاملة زي المستيكة
Mayada,3,كمية البطاطس قليلة وباردة
Merihane Diab,2,Late dilevery wothout call
Amira,1,ا
Ahmed Kamal,2,سيء جدا وساندوتش شبه فاضي
مريم جابر,1,زفت
Yasmina,5,Nhy
Carole Talaway,5,crepes are excellent
Mohammad Gamal Mohammadien,1,الاكل طعمه حاجه مش حلوة خالص
Ahmed Kamal,5,اتأخر جدا بس الاكل حلو
باسل,1,الفراخ طعمها غريب والاكل وجعلنا بطننا
Carole Talaway,5,too much rice with the fattah meal.
marwa badawy,5,very good
Omar,1,الاكل كان بارد جداً و وصل متاخر و كمان فلوس زياده عن الحساب
Karim Gad,1,اول ما بتحط اوردر بيقبله في ساعتها و يقولك انه جي في السكة عشان البرنامج ميرداش تخليك تكانسل و انا دلوقتي طلبت حجات بالغلط و مش عارف اعدلها
Nour Hassan,3,الاوردر جه غلط انا طالب فىنساوي جابلي سوري
Youssef Sameh,5,Taste not good
Gasser,1,طلب خاطئ وتأخر الطلب كثيرا جدا
Mohamed Elabass,1,الكريب صغير جدا ومش مستوي العجين
Walid Abouseeda,1,البطاطس بايتة وعقلة صباع والعيش طري ومش محمص
Sare Husnu,3,لما بشتري الكريب من المطعم بنفسي حجمه بيكون كبير اللي جالي في الطلب هنا حجمه اصغر
Ramadan,1,المفروض بيجي معاها توميه مجتش
Gehad m,5,بس كان بيبقا مع بوكس المعلم تومية الطلب جية من غير تومية
Abdulhakim Trad,1,الطيار ما رضي يطلع الاكل لبيتي بالدور الرابع وكان اسلوبه وقح ومستفز وكان زعلان انه ما عندي سبت ! باب العمارة كان مقفول وبس لاني قلتله هرميلك المفتاح قعد يعيط ويقول انا ما تقولي كذا وعيب ومعرفش ايه ويقول انا مو مشكلتي حتى اطلعلك البيت اتمنى اتخاذ الاج...
Sare Husnu,2,البسطرمة كانت قديمة ومجلدة مع اني لما بجيب الكريب من المطعم مباشرة بيكون غير كده خالص
هاشم الطباع,1,تعامل سيء جداً
Yasmina,5,Nhy
Carole Talaway,5,crepes are excellent
Mohammad Gamal Mohammadien,1,الاكل طعمه حاجه مش حلوة خالص
Ahmed Kamal,5,اتأخر جدا بس الاكل حلو
باسل,1,الفراخ طعمها غريب والاكل وجعلنا بطننا
Carole Talaway,5,too much rice with the fattah meal.
marwa badawy,5,very good
Omar,1,الاكل كان بارد جداً و وصل متاخر و كمان فلوس زياده عن الحساب
Karim Gad,1,اول ما بتحط اوردر بيقبله في ساعتها و يقولك انه جي في السكة عشان البرنامج ميرداش تخليك تكانسل و انا دلوقتي طلبت حجات بالغلط و مش عارف اعدلها
Nour Hassan,3,الاوردر جه غلط انا طالب فىنساوي جابلي سوري
Youssef Sameh,5,Taste not good
Gasser,1,طلب خاطئ وتأخر الطلب كثيرا جدا
Mohamed Elabass,1,الكريب صغير جدا ومش مستوي العجين
Walid Abouseeda,1,البطاطس بايتة وعقلة صباع والعيش طري ومش محمص
Sare Husnu,3,لما بشتري الكريب من المطعم بنفسي حجمه بيكون كبير اللي جالي في الطلب هنا حجمه اصغر
Ramadan,1,المفروض بيجي معاها توميه مجتش
Gehad m,5,بس كان بيبقا مع بوكس المعلم تومية الطلب جية من غير تومية
Abdulhakim Trad,1,الطيار ما رضي يطلع الاكل لبيتي بالدور الرابع وكان اسلوبه وقح ومستفز وكان زعلان انه ما عندي سبت ! باب العمارة كان مقفول وبس لاني قلتله هرميلك المفتاح قعد يعيط ويقول انا ما تقولي كذا وعيب ومعرفش ايه ويقول انا مو مشكلتي حتى اطلعلك البيت اتمنى اتخاذ الاج...
Sare Husnu,2,البسطرمة كانت قديمة ومجلدة مع اني لما بجيب الكريب من المطعم مباشرة بيكون غير كده خالص
هاشم الطباع,1,تعامل سيء جداً
Mohamed Osama,1,الطلب موصلش و لما كلمت المطعم من الرقم اللي موجود في الاوردر قالي احنا مش بنتعامل مع المنيوز
Mohamed,2,very cold fries and shawarma
Mahmoud Moustafa,1,في حشره في الأكل
Habiba Essam,1,الاوردر مجاش وطالباه من ساعتين وربع
Mariam,1,الاكل ساقع جدًا وصل بعد ساعتين وتلت
Abdulkareem Faisal,1,يتأخر بشكل فضيع
Omar,2,الاكل بارد وجاي بعد ساعتين
Ibrahim Mohamed,1,كنت طالب شاورما ماريا واللى جالى وجبة شاورما عربى
Khalid Mohammed,1,استهتار بالعملاء عالى جدا جدا وعمل بلوك مجرد ما اشتكيت
George,1,الاوردر جاه بارد جداً
Rawan Osama,5,fast delivery
Ahmed Mahmoud Youssef,2,السندوتشات صغير بالحشو جدا
ahmed abdelhamid,3,so little stuffing
Abdulkareem Faisal,3,يتأخر جداً جداً جداً
hunter tube,1,it was tooo late and didn't come and they are going to wrong places and canceling orders and doesn't want to come and I called call center and they are not answering they are declining and I haven't eaten
