Name,Stars,Review
Wissam Albehairy,5,من أفضل مطاعم الأكل الهندي اللي جربتها، نضافة وطعم ومحترمين جدا خصوصا الأخ (السوري اعتقد) اللي بيتصل كل مرة يتأكد من الأوردر. انسان محترم جدا وتجربة ممتازة. شكرا
ايناس,1,Bad taste
Hadier Mohamed Fiala,1,استلمنا اتنين بريانى لحم واخنا كنا عاوزين واحد لحم وواحد دجاج واستلمنا معلقه واحده بس بجظ الاكل متاكلش حرام بجد
Marwa Adel,2,جالي الطلب ناقص صوص ومن غير ملعقه حتي ولما كلمت المطعم قالي خالصين ومبلغنيش قبلها لما تواصلت معاه ولما قلتله مش هاخد الاوردر ناقص قالي هبعتلك الطيار ياخده ولما طلبت اكلم المدير قالي هبعتلك الصوص الناقص معامله ف قمه قله الذوق برغم اني زبونه قديمه جدا
Soo Ali,5,اولا اشكركم على اهتمامكم بالاوردو ونظافتة والطعم وهدية الحلوة تجنن تسلم ايدكم اكيد بعيد التجربة ..تحياتى
Samar,1,طلبت برياني تشكين ووصل بدل منه رز ساده وفي فرق في الحساب اكيد
Amat,1,Ignore the special request
Mohamed Mowafak,4,Lamb Korma tasted like regular meat
Marwa Adel,2,الطعم مش زي كل مره والفراخ مش مستويه كويس والصوص خفيف
منير,5,رائع تسلموا والله افضل مطعم في الاسكندرية برايي
Smr Makhlouf,1,فرع سبورتنج احسن كتير من فرع العصافرة .. لكن الاسعار مبالغ فيها جدا جدا .. و حاليا ارتفعت الاسعار تاني فللأسف هنوقف تعامل مع سلسة مطاعم مهراجا
نايف,5,ت
Mirna Z,3,One order was wrong and the boxes weren't labeled which made it hard to know what each was
نايف,5,م
ABDULLA,1,سيئ ولا يستحق السعر والكمية قليلة والطعم الله يكرم النعمة بس
Ahmad,5,اكل و جو و مكان رائع جدا. لازم الواحد يجرب الاكل من هون.
Hamdy Pop,1,فلوس ع الفاضي بالنسبة للكمية والجودة بصراحة
Ibrahim Ahmed Shaat,1,لا ينصح به صراحة فلوس كتير بالهوا………………….
