Name,Stars,Review
Nada Sameh,1,"The sandwichs tasted horrible, never ordering again..."
Radwa,5,M
Mohanad Elsaadany,1,"There is an issue with the application. If you enter a promocode with a meal that is discounted, it won't apply without telling you. I contacted support and was told that someone was going to contact and help me within 24 hours. No one called."
Abd-Elrahman,1,الاكل بادر جدااااا
Abd-Elrahman,1,البطاطس كانت وحشه جدااااااا
Amira Raouf,5,كويس الكميه محدوده
Ashraf,1,طالب هالبينو جايلي كاتشب حار اية الهبل دا
Raneem,2,السلطة كان طعمها حمضان و باين انها بقالها كذا يوم مش طازة حاجة بشعة جدا و رميتها كلها ف الزبالة
Ziad Negmy,4,السندوتش جه متبهدل و مفتوح
Maged Alwakil,5,حلو مش اول مره اجربه بس المره دي للأسف اول مره حشو الساندوتش يكون اقل من كل مره
Saeed,1,الاكل بارد جدا
kareem Mohammed,1,طعم سئ جدا الاكل سئ و لا انصح بالتعامل معه جالي نزلة معوية
Nour Hikal,1,لم يكن للأكل طعم و طلبت وجبة شيش دايت و اول مرة اجد الشيش عبارة عن مكعبات من الفراخ ؟ و كان بارد
Khaled Sabry,1,"I ordered at 3 AM and it was supposed to be delivered by 3:45 AM I received it at 4:10 AM and it was not even warm, I really don't know what's the reason for that"
Mostafa.Riizk,5,الطيارين بتوع ست الشام حاجة خرا
ebrahem mahmoud,3,الشاورما موتزريللا مش حلوه خااااالص
Mahmoud,1,مقرف
A Oa,1,"تجربة غاية في السوء وللأسف كنت أظن المكان جيد فطلبت كمية لكن ندمت على ذلك، ولا انصح أحد ياخد وجبة Healthy من ست الشام لإنها ""Unhealthy"" الأكل غير طازج والطعم غير جيد"
Ashraf,1,الارز طعمو اقسم بللة صعب اووي
A'laa Elkhiat,3,وجبة الدايت مالحة جدا وغير الصورة
hossam metwally,2,الاكل بارد
Mohamed Yousuf,1,الفتة ناقصة حوالي ربعها اكن حد واكل منها
Seif,5,&
Ahmed Adel,1,الاكل محترم جدا و ربنا يبارك لكم في الاكل و السعر كمان كويس جدا انما بقي التوصيل بجد اوحش حاجه في الدنيا و مش مره ولا اتنين كل مره لازم ناخد ساعتين اقل حاجه
Mohamed Maher,1,الطعام غير طازج
Yomna Abobaker Ali,1,الرز بايظ
Mohannad Anwar,1,جاتلي الفاتورة زيادة ١٠ جنيه عن الي انا طالبه
Mahmoud Zayed,5,شكرا ست الشام على التطور الدائم في جميع النواحي لاحظت تغير الباكجنج افضل والطعم والبهارات بالتوفيق الدائم ومش هبطل اكل من عندكم بس خلي بالكم عشان الصيف التومية والكولسلو دايما في التلاجة واي صوص تاني بردو وحابب اشكر العاملين على التطبيق أيضا للاهتمام
Donia Othman,5,♥️♥️♥️♥️♥️ أحلي مطعم في الدنيا
nour,1,الاكل وصل حامض
Ziad Shalaby,3,الشاورما فيها ريحة زفارة
Haneen Mohamad,2,ليس ساخن
