Name,Stars,Review
Marc Moheb,2,little pieces of meat and chicken and the rest is onion!
sally,2,مكنش في توميه
Shaymaa Abd El-Mageed,1,الشاورما سيئه جدا و بارده و وحشه جدا جدا
Mohammad A'amer,1,The food is too cold
Khloud Muhammed,2,I requested extra sauce n it came without any sauces instead..plane shawerma with pickels😡🥹
Farah Adel,1,..
Ahmed Kesho,3,ساندوتش الشاورما صغير جدا علي السعر اتمني التحسين
نادر محمد,1,انا طلبت فتته شاورما مطلبتش ان يكون عليها صوصات غير ان الطيار وصل متأخر بقا شكل الاورد سئ جدا حقيقي اسوء تجربه
Ahmad Sami,3,Strips weren't crispy and fries were oily.
Mahmoud Saad,4,دهون الشاورما لحم كتير جدا
Abe,4,The driver and the food was great but the lateness of sultan ayub is unforgivable
Mina,1,After accepting my order from restaurant and waiting for more than one hour i received a call that order will not be delivered as the restaurant has a problem which is not acceptable at all after waiting for more than one hour this is the worst custo...
Marwa Adel,2,العيش كان ناشف ومبيتندغش
Hazem Fouad,1,اسوء مره للسلطان ايوب بجد وحش جدا
Eslam Solyman,1,أنا دفعت للدليفري ١٥٢ وفي ٢٠ باقي قلي إن يجبلي باقي ومجبش حاجة و مشة
Sherif Makram,1,الاكل بارد
Nehal Moustafa,1,طلبت من الapp ساندوتش شاورما فراخ وكان شكله بايت ومش طازة خالص والسوس كان سيء
Ezz,5,Crispy cheese fries was very disappointing
Merihane Diab,4,..
Sarah Hassan,1,The driver was extremely late and the food was cold !
yasmine,4,الكمية قليلة قوى
mina nashaat,5,عشره من عشره
Islam R Elsayed,1,سندوتش توستوك كفتة يحتوي على قطعة واحدة فقط من لحم الكفتة ومن المفروض قطعتين ويحتوي على كمية كبيرة جدا جدا من البصل في جميع السندوتشات الأربعة والطعام بارد جدا 😑😑 تجربة سيئة جدا لهذا الفرع نرجو الاهتمام
Youssef,1,الاوردر موصلش اصلا
Alaa Abdulfatah,1,الاكل بارد
Hazim Babiker,1,اكثر من ساعتين طالب ويجي الاكل بارد والطيران سلوكه سئ جدا
norhan ahmed,1,الطلب مجاش اصلا !!!!
Mahmoud Saad,5,شاورما لحمه حلوه جدا بالصوص السبايسي
Ahmed Elfauomy,1,cold
Ola El-Toukhy,2,The chicken shawerma was burnt and the rice undercooked.. What a shame
Ahmed Magdy,1,اسوء اكل الاكل كان فيه حشرات .. حسبي الله ونعم والكيل فيكم و الاوردر جه ناقص
Raneem,3,"I received my food cold , taste was great but it was too cold"
Shawanty,5,7lww
Shrouk Abdel Moniem,3,القيمة قليلة اوي اوي اوي اوي مقابل السعر كان ممكن اجيب كم اكبر من مكان تاني بجوده كويسه بنفس السعر
Razane,1,It comes cold
Helmi maher,5,
Youssef Ahmed Hassona,1,"the plate was half empty , tasted bad , lots of chicken tendons, didnt taste good overall"
Ahmad S Bakri,1,جاني ثوميه بدل طحينه مع الاسف وسلوك الطيار جدا سيء وبارد
MoHaMeD Usama,5,روعة
Yusuf Tamer,1,طلبت فتة ميكس جت فراخ بس ، طلمت ثومية زيادة جت أقل من العادي ،عملت إضافة جبنة مكنش فيه ولا نقطة جبنة حاجة بجد قلة أدب وعدم أمانة أنا حعمل شكوي في المحل
yasmine,4,الكمية قليلة قوى
mina nashaat,5,عشره من عشره
Islam R Elsayed,1,سندوتش توستوك كفتة يحتوي على قطعة واحدة فقط من لحم الكفتة ومن المفروض قطعتين ويحتوي على كمية كبيرة جدا جدا من البصل في جميع السندوتشات الأربعة والطعام بارد جدا 😑😑 تجربة سيئة جدا لهذا الفرع نرجو الاهتمام
Youssef,1,الاوردر موصلش اصلا
Alaa Abdulfatah,1,الاكل بارد
Hazim Babiker,1,اكثر من ساعتين طالب ويجي الاكل بارد والطيران سلوكه سئ جدا
norhan ahmed,1,الطلب مجاش اصلا !!!!
Mahmoud Saad,5,شاورما لحمه حلوه جدا بالصوص السبايسي
Ahmed Elfauomy,1,cold
Ola El-Toukhy,2,The chicken shawerma was burnt and the rice undercooked.. What a shame
Ahmed Magdy,1,اسوء اكل الاكل كان فيه حشرات .. حسبي الله ونعم والكيل فيكم و الاوردر جه ناقص
Raneem,3,"I received my food cold , taste was great but it was too cold"
Shawanty,5,7lww
Shrouk Abdel Moniem,3,القيمة قليلة اوي اوي اوي اوي مقابل السعر كان ممكن اجيب كم اكبر من مكان تاني بجوده كويسه بنفس السعر
Razane,1,It comes cold
Helmi maher,5,
Youssef Ahmed Hassona,1,"the plate was half empty , tasted bad , lots of chicken tendons, didnt taste good overall"
Ahmad S Bakri,1,جاني ثوميه بدل طحينه مع الاسف وسلوك الطيار جدا سيء وبارد
MoHaMeD Usama,5,روعة
Yusuf Tamer,1,طلبت فتة ميكس جت فراخ بس ، طلمت ثومية زيادة جت أقل من العادي ،عملت إضافة جبنة مكنش فيه ولا نقطة جبنة حاجة بجد قلة أدب وعدم أمانة أنا حعمل شكوي في المحل
Nancy Alaa,3,One sandwich opened
Cherouk,2,"The portions are not as big as they were before But for the driver, i give him 5 stars because of his professional attitude & appearance"
Yousef Abdulrazek Samir,1,العيش مفرول و الفراخ فيها دهن كتير و بتشد
Farah,4,wrong order
Mohamed Elsoucy,5,not friendly.. very bad manner
Salwa Hashem,5,شكرا
Nourhan Samy,1,الاكل وحش جدا
farouk salama,5,البوريك كان مقرمش جامد و ارجو المرة الجاية يكون كويس
Eman,1,بارد وطلبت عدم اضافة التومية قاموا حطوها برضه،، تجربة سيئة
Nehal Fawzy,2,the spicy garlic sauce was rotten
Merna,1,"Arrived unwrapped and cold, didn’t taste good as every time i order it"
Mohemed Elmoghazy,3,بجد الطعم مش عجبني
Yehia ElSherif,5,الكباب دجاج تحفه والتوكستوك شاورما فراخ حلو اوى
Riham Saad,3,B
Mohamed Saber,3,يجب ان تكون علبة الفتة مغلفة والكمية قليلة
afaf elsayad,3,حشو الشاورما قليييييل جداااا - لكن الطماطم والبصل والصوص كتييييير - وعشان الامانه ( الطعم جميييل )
Hager,1,اسلوبة زفت واشتكىت للدعم
Eslam Galal,3,الشاورما كانت باردة🙁
Amane Store,3,الصلصة طعمها غريب غير اللي موجوده في فرع جليم
No Ra,4,بس اتخرو اوي في تحضير الساندويتشات
yasmine,4,الكمية قليلة قوى
mina nashaat,5,عشره من عشره
Islam R Elsayed,1,سندوتش توستوك كفتة يحتوي على قطعة واحدة فقط من لحم الكفتة ومن المفروض قطعتين ويحتوي على كمية كبيرة جدا جدا من البصل في جميع السندوتشات الأربعة والطعام بارد جدا 😑😑 تجربة سيئة جدا لهذا الفرع نرجو الاهتمام
Youssef,1,الاوردر موصلش اصلا
Alaa Abdulfatah,1,الاكل بارد
Hazim Babiker,1,اكثر من ساعتين طالب ويجي الاكل بارد والطيران سلوكه سئ جدا
norhan ahmed,1,الطلب مجاش اصلا !!!!
Mahmoud Saad,5,شاورما لحمه حلوه جدا بالصوص السبايسي
Ahmed Elfauomy,1,cold
Ola El-Toukhy,2,The chicken shawerma was burnt and the rice undercooked.. What a shame
Ahmed Magdy,1,اسوء اكل الاكل كان فيه حشرات .. حسبي الله ونعم والكيل فيكم و الاوردر جه ناقص
Raneem,3,"I received my food cold , taste was great but it was too cold"
Shawanty,5,7lww
Shrouk Abdel Moniem,3,القيمة قليلة اوي اوي اوي اوي مقابل السعر كان ممكن اجيب كم اكبر من مكان تاني بجوده كويسه بنفس السعر
Razane,1,It comes cold
Helmi maher,5,
Youssef Ahmed Hassona,1,"the plate was half empty , tasted bad , lots of chicken tendons, didnt taste good overall"
Ahmad S Bakri,1,جاني ثوميه بدل طحينه مع الاسف وسلوك الطيار جدا سيء وبارد
MoHaMeD Usama,5,روعة
