Name,Stars,Review
salma shams,1,الأكل كان طعمه كويس بس مش أحسن حاجة.. لكن بعده بأقل من ساعتين جالي تسمم و مغص شديد، و للعلم مكنتش واكلة أي حا٠ة تانية معاه لا من جوه البيت و لا من بره
Abdullah Siddawy,1,القطعة مزيتة جدا و الطعم الزيت باين انه حتى مش نضيف
Hadir,5,Good
Hagar M. Esmail,1,"For the second time in a row i get nausea and vomiting 1 hour after eating your food, i was a constant customer for over a year i always ordered from your place , but after what happened to me the last two orders i will never order your food again an..."
Moustapha Sayed Amer,5,I’m a regular customer but the last order was spoiled
Cathrine Shoukry,1,I have 18 piece not 20
Rowane,1,I got food poisened
Bayan W,3,Food was cold
Moaz Seif Elnasr,1,I didn't receive the order till now
Amgd Mego,4,Ok
Yomna Othman,1,"the order takes more than 2 hours to be received, also the food was very cold and not fresh"
Asma El Badrawy,1,الاوردر موصلش
Nadine Ibrahim,3,الكرانشي رول كان فيه شوك سمك السلامون
Dina Kamel,5,D’EDF
Eman Hassan,4,هو حلو بس كان في قطع طعمها غريب و مش فريش
Yara Mohamed,2,driver was rude and food was cold
Nada Enab,3,They delivered lemon roll instead of crazy roll. The Philadelphia roll was good tbh.
Fatma Khalifa,5,To7faaaaa
walaa elwakil,2,"the sushi wasn’t fresh and the avocado in the crispy roll tasted weird. the amount of sauce was very small. also, the rice was just bad."
Mohamed Elmasry,3,مشكله جامده بالتوصيل الاوردر وصل بعد ساعتين متلج
MERO H,1,the fried pieces are ice cold ... taste bad. very small pieces
Nour YousRi Abazeid,1,اوحش سوشي كلته فحياته طعمه فيه حاجة مش مظبوطة
Nada Tarek,2,Was terrible order
Lobna Anis,5,"the driver Asmaa is extremely polite & nice girl, she was a bit late with my order but it was out of her hands due to traffic issue, she is really nice and decent and respectful, please reward her for being very decent and polite"
Omar Geballi,1,Definitely a scam as for value vs quality and quantity!
Sellwan Omar,1,جودة السوشي سيئة جدا
MOHAMED HUSSAM,4,Cold
amira saad,1,Food was spoiled
Mona Mohamed,3,portions are quite small for glass noodles unlike I ordered before
Hassan Essam,5,The amount of Soya sauce coming with the order is not enough at all! And the sauces is not in the menu and we cannot add/buy extra. but the food was amazing! highly recommended! Thanks
Sondos,2,Very dry so small but nice packaging
Yara Mohamed,3,too oily
Nour Ibrahim,3,the food wasn't good
Alaa Mahmoud,1,Noodles so badddd and sushi not the best
Passant,5,Fast
Mohamed Habib,3,There was no soy sauce in my order
marwa,5,الصوص بس الترياكى و السبايسى كانت علبة واحدة فقط
Maha Mohamed,5,best sush
arwa,1,quality el sushi bgd b2t wa74a awe mafy4 t3m haga 8er rice ma2ly bgd mafy4 flavor f kol el rolls
Amal Farouk,5,رااااائع حقيقي فريش و سخن و وصل سريع و منتهى الذوق ❤️
MERO H,1,the fried pieces are ice cold ... taste bad. very small pieces
Nour YousRi Abazeid,1,اوحش سوشي كلته فحياته طعمه فيه حاجة مش مظبوطة
Nada Tarek,2,Was terrible order
Lobna Anis,5,"the driver Asmaa is extremely polite & nice girl, she was a bit late with my order but it was out of her hands due to traffic issue, she is really nice and decent and respectful, please reward her for being very decent and polite"
Omar Geballi,1,Definitely a scam as for value vs quality and quantity!
Sellwan Omar,1,جودة السوشي سيئة جدا
MOHAMED HUSSAM,4,Cold
amira saad,1,Food was spoiled
Mona Mohamed,3,portions are quite small for glass noodles unlike I ordered before
Hassan Essam,5,The amount of Soya sauce coming with the order is not enough at all! And the sauces is not in the menu and we cannot add/buy extra. but the food was amazing! highly recommended! Thanks
Sondos,2,Very dry so small but nice packaging
Yara Mohamed,3,too oily
Nour Ibrahim,3,the food wasn't good
Alaa Mahmoud,1,Noodles so badddd and sushi not the best
Passant,5,Fast
Mohamed Habib,3,There was no soy sauce in my order
marwa,5,الصوص بس الترياكى و السبايسى كانت علبة واحدة فقط
Maha Mohamed,5,best sush
arwa,1,quality el sushi bgd b2t wa74a awe mafy4 t3m haga 8er rice ma2ly bgd mafy4 flavor f kol el rolls
Amal Farouk,5,رااااائع حقيقي فريش و سخن و وصل سريع و منتهى الذوق ❤️
Nada Hindi,3,good but I found a bone in the hot lemon roll
S.Abdin,4,"They didn’t send any ginger. Also, they only sent one wasabi and one soya. But 2 teriyaki and 2spicy mayo."
Alia,5,Helw awe el raw ahla mn el fried w l sushi fresh I hope this quality lasts
Nabela,5,فيه طعم مراره غير مبرر
Kiki,5,لذيذ
Yasma Elwakeel,3,كان فى شوك كتير فى السالمون فى spicy lemon rolls و الصوصات كانت مش كفاية من كل حاجة واحدة بس و دة ميكفيش ال٢ sets
Layla Badran,1,The worst experience ever … not once but twice . Never ordering from AMA ever again
Marwa Abd elhamid,3,"they are not using Philadelphia cheese, another bad type but the other rolls was good"
Rushan,2,"I got chicken noodles and 10 pieces sushi combo, the noodles tasted nice but the portion was so small for that price, and the 10 pieces sushi were also so tiny compared to other sushi places I tried, and the taste was so mid, didn’t taste good at all..."
Jomana Hany,1,الأكل مجاش أصلن أنا مستنيا بقالي ساعتين او اكتر أحسن أنا اصلن كنت مستخسرا الفلوس
Vironia Roshdy,5,Fresh and delicious as always
BasMa El-SweRky,4,الاوردر كان حلو جدا بس كان كله فوق بعضه 😅
Passant,5,All was perfect
Dalia Abdulaziz,2,Quality declined. One Roll was obviously a leftover from days before because the rice was hard and stale
Salma El Rashidy,3,Order was properly packed and tasted good but order was late and crabsticks were hard
Mahmoud Sabae,1,food came after 1h30min. soup was cold and sushi was messed up. terrible experience
Mervat El Khatib,2,There was a bad taste of the oil used for frying
Merehan Mahmoud,3,انا كنت طالبة السالاد بدون كاڤيار ،، جتلي كلها كاڤيار! اعتقد لو هي كانت جاهزة مثلا ومش هينفع يعدلوا فيها كان المفروض حد يقولي ،، لكن غالبا هي فريش ف ليه نتجاهل الريكويست ده؟ الاوردر كله بشكل عام كان كويس بس دي كانت حاجة مستفزة جدا الحقيقة
Hussein Samour,3,Poor handling for food Left the order without confirm from myself
Nevo Nevo,1,The order came extremely cold and tasteless Doesn’t worth the money
Nada Hindi,3,good but I found a bone in the hot lemon roll
S.Abdin,4,"They didn’t send any ginger. Also, they only sent one wasabi and one soya. But 2 teriyaki and 2spicy mayo."
Alia,5,Helw awe el raw ahla mn el fried w l sushi fresh I hope this quality lasts
Nabela,5,فيه طعم مراره غير مبرر
Kiki,5,لذيذ
Yasma Elwakeel,3,كان فى شوك كتير فى السالمون فى spicy lemon rolls و الصوصات كانت مش كفاية من كل حاجة واحدة بس و دة ميكفيش ال٢ sets
Layla Badran,1,The worst experience ever … not once but twice . Never ordering from AMA ever again
Marwa Abd elhamid,3,"they are not using Philadelphia cheese, another bad type but the other rolls was good"
Rushan,2,"I got chicken noodles and 10 pieces sushi combo, the noodles tasted nice but the portion was so small for that price, and the 10 pieces sushi were also so tiny compared to other sushi places I tried, and the taste was so mid, didn’t taste good at all..."
Jomana Hany,1,الأكل مجاش أصلن أنا مستنيا بقالي ساعتين او اكتر أحسن أنا اصلن كنت مستخسرا الفلوس
Vironia Roshdy,5,Fresh and delicious as always
BasMa El-SweRky,4,الاوردر كان حلو جدا بس كان كله فوق بعضه 😅
Passant,5,All was perfect
Dalia Abdulaziz,2,Quality declined. One Roll was obviously a leftover from days before because the rice was hard and stale
Salma El Rashidy,3,Order was properly packed and tasted good but order was late and crabsticks were hard
Mahmoud Sabae,1,food came after 1h30min. soup was cold and sushi was messed up. terrible experience
Mervat El Khatib,2,There was a bad taste of the oil used for frying
Merehan Mahmoud,3,انا كنت طالبة السالاد بدون كاڤيار ،، جتلي كلها كاڤيار! اعتقد لو هي كانت جاهزة مثلا ومش هينفع يعدلوا فيها كان المفروض حد يقولي ،، لكن غالبا هي فريش ف ليه نتجاهل الريكويست ده؟ الاوردر كله بشكل عام كان كويس بس دي كانت حاجة مستفزة جدا الحقيقة
Hussein Samour,3,Poor handling for food Left the order without confirm from myself
Nevo Nevo,1,The order came extremely cold and tasteless Doesn’t worth the money
Eman Hassan,3,السلمون كان طعمه غريب و لونه كمان و الصوصات في واحد طعمه كان بشع مقدرتش اكله
Rovan Tarek,3,Food was cold and it was not fresh at all
Khloud,5,توب التوب كل يوم اجيب 😂
Sarah Fawzy,1,الاوردر طعمه وحش جدا ... والسوشي كأنه محروق
Omar Barakat,3,food came cold and didnt taste fresh
Alia,5,I like it
Khloud,5,تحفه الباكدج جامده السوشي نضيف و تحفه 10/10 ونجمه
Nada Naser,2,"The fried portions were very oily and the sauce was terrible, I didn't like the food at all, it was never like that , it used to be good 😕"
Salma Ayman,2,The sushi boxes were spilled
Mariam Faraj Nassar,1,اخر مرة Ama
Yara,1,taste not good not fresh or hot
Hanan Fawzy,1,My order came at 1 am and no one called me even to explain why it’s late and when I called the driver he said he had many orders and it was far away and he doesn’t know how did that happened the. My order came cold and not fresh
youssra,5,Very good
Aya,1,The worst time ever although i make a complain the last time also wasn’t good then i sent before I ordered this time but really was horrible
محمود السيد,2,كمية قليلة شوربة كتير
Mahmoud Elkhatib,5,A
Emad Akram,1,Sushi was not fresh and had a bad taste in it.
Asiya El Messery,1,1. Order came an hour late 2. Food came messy and all mixed
Dalia,1,I
dalia adel..,5,thx u
Aya,2,It’s disappointing for me today i usual to order it from her or take it in the restaurant me and my son love it so much bit today was cold not fresh and not tasty at all :(
arwa,1,بجد معرفش المره ديه السوشي جاي وحش جدا كانه من مكان تاني القطع اصغر النص و نوع الجبنه متغير للاسواء بجد اوحش مره طلبت فيها
Maha Mohamed,5,تحفه
Maya Elmahdy,3,the fried calamari came without the sweet chilli sauce and the portion was small
Ahmed,5,We got food poisoned
Nouran El-Gazzar,1,The order was really bad I think it fell from the driver and the taste was not good at all
Hesham Elshazly,2,it wasnt fresh and tasted off
Zeyad,1,Sauces were dripping and pieces fallen all over the package with everything mixed up and rice fallen off
Abeer,1,وحش جداً
Aischa Mahmoud,1,In the green hoso maki is nothing green in it just brown
Nessma,5,The food was amazing but the soy sauce spilled
Mohammad Zaher,3,الاكل متوسط مش مميز خالص و فى قطع ملهاش طعم و الرز ناشف و القطع عماله تصغر بشكل كبير
amira ammar,2,Not fresh at all
Salsabeel Saleh,1,Sushi ingredients quality is so bad honestly.. it keeps getting worse every time!
Menna Waleed,5,"A special thank for the service support, thank you ama for this delicious order I appreciate it alot🙏🏼❤️❤️"
Nehal Elkhouly,2,حجم القطع صغير جدا عن المعتاد للاسف تجربه مش حلوة
Menna Waleed,2,the order was superrrr lateeee!! and it's not the first time to complain on thatt it's too much
noran,3,I didn’t recieve the sauces with the order.
Sara,4,المقلي كان بارد و المكرونة مش حلوة
Maha Mohamed,5,i love it
Aya,2,It’s disappointing for me today i usual to order it from her or take it in the restaurant me and my son love it so much bit today was cold not fresh and not tasty at all :(
arwa,1,بجد معرفش المره ديه السوشي جاي وحش جدا كانه من مكان تاني القطع اصغر النص و نوع الجبنه متغير للاسواء بجد اوحش مره طلبت فيها
Maha Mohamed,5,تحفه
Maya Elmahdy,3,the fried calamari came without the sweet chilli sauce and the portion was small
Ahmed,5,We got food poisoned
Nouran El-Gazzar,1,The order was really bad I think it fell from the driver and the taste was not good at all
Hesham Elshazly,2,it wasnt fresh and tasted off
Zeyad,1,Sauces were dripping and pieces fallen all over the package with everything mixed up and rice fallen off
Abeer,1,وحش جداً
Aischa Mahmoud,1,In the green hoso maki is nothing green in it just brown
Nessma,5,The food was amazing but the soy sauce spilled
Mohammad Zaher,3,الاكل متوسط مش مميز خالص و فى قطع ملهاش طعم و الرز ناشف و القطع عماله تصغر بشكل كبير
amira ammar,2,Not fresh at all
Salsabeel Saleh,1,Sushi ingredients quality is so bad honestly.. it keeps getting worse every time!
Menna Waleed,5,"A special thank for the service support, thank you ama for this delicious order I appreciate it alot🙏🏼❤️❤️"
Nehal Elkhouly,2,حجم القطع صغير جدا عن المعتاد للاسف تجربه مش حلوة
Menna Waleed,2,the order was superrrr lateeee!! and it's not the first time to complain on thatt it's too much
noran,3,I didn’t recieve the sauces with the order.
Sara,4,المقلي كان بارد و المكرونة مش حلوة
Maha Mohamed,5,i love it
An Nagi,5,الطيارين بتوع توصيل المطعم دة بالتحديد قمة في الذوق والاحترام والمطعم أكله حلو والماتريال حلوة كالعادة وطازة
An Nagi,5,ممتاز جدا جدا جدا و الاوردر طازة والخامات منتهي الروعة
An Nagi,5,تجربة ممتازة للسوشي الأصلي والخامات جودتها عالية جدا والاكل نضيف وطازة والتغليف محترم والاكل مش بيتأخر في التحضير ولا التوصيل بجد شكرا جزيلا اتبسطت من الطعم جدا
Nahla,5,The portion of the soya sauce wasn’t enough
Yıldız Muhammad,5,"Incredible taste, portions, packaging, and very professional. It truly impressed me 💖"
Salma,3,The hot lemon roll arrived cold although it should be served hot.
Maha Mohamed,4,always the best quality soy sauce was thin
pierre,5,حلوا جدا و معاه كل ال souces
malak belal,2,The sushi didn’t taste fresh at all it tastes awful I used to order from ama a lot but this time it’s terrible
Rowan Hesham,5,Lovely taste as always frim AMA
Mariam,5,تححححفهه
Hagar,5,
Revan George,2,The order came with no soy sauce and wasabi
A.,1,I didn’t receive the order
Marah,1,Insect in the food
Dina Salah,3,elakl mknsh so5n kan bard gdn
Rana Osama Abou El-Nour,4,sushi rolls are getting much smaller
Mayada Ghaith,3,السوشي مكنش فريش طعمة كان باين انه بايت
Fatima Salama,5,تحفة
Aseel Maher,1,the portions were all reduced although the price remained unchanged. الكميات قليلة رغم ان السعر زي ما هو
Aya,2,It’s disappointing for me today i usual to order it from her or take it in the restaurant me and my son love it so much bit today was cold not fresh and not tasty at all :(
arwa,1,بجد معرفش المره ديه السوشي جاي وحش جدا كانه من مكان تاني القطع اصغر النص و نوع الجبنه متغير للاسواء بجد اوحش مره طلبت فيها
Maha Mohamed,5,تحفه
Maya Elmahdy,3,the fried calamari came without the sweet chilli sauce and the portion was small
Ahmed,5,We got food poisoned
Nouran El-Gazzar,1,The order was really bad I think it fell from the driver and the taste was not good at all
Hesham Elshazly,2,it wasnt fresh and tasted off
Zeyad,1,Sauces were dripping and pieces fallen all over the package with everything mixed up and rice fallen off
Abeer,1,وحش جداً
Aischa Mahmoud,1,In the green hoso maki is nothing green in it just brown
Nessma,5,The food was amazing but the soy sauce spilled
