Name,Stars,Review
Lamia Haddad,5,tohfa
carol bassem,5,Portion is very small
Aya Alzyady,3,جالي درينك غلط
Aya,1,The burger tasted so bad and the fries was soggy
Mohamed Waleed,1,الأوردر جي ناشف خالص و الفراخ بتشد و تجربه سيئه جدا
Rawan Beram,1,firstly you brought the wrong second of all there's no ketchup third of all and most important the meat is not done PROPERLY it's RAWWW in the middle!
Mennah Eldesouky,1,"Very very small wings, it was late 2 1/2 hours, not even saucy"
radwa,1,Terrible experience delay and bad attitude every thing was horrible
Nesma Kassem,1,The burger tasted horrible
Kareem,1,sauce cup opened and spilled all over the food
nada aly,1,The food was late and very cold
Sara Sadek,1,"I ordered take away 4 chicken buffalo sandwiches with fries and drink for 1200 LE they were utterly disgusting none of my family members were able to eat the sandwich, the chicken snelled v bad"
Rawan Beram,1,I ordered two double fudge and what came is the Cadbury one which is my least favorite kindly send someone to replace it's around 150!!
Farah Tarek,1,I ordered 12 wings and I received 9
Haidy Khaled,1,the delivery is always late and this time I didn't even receive it
samar,1,"50 mins late, no apology, expensive, food spilled in bag."
Ahmed Sabry,1,Delivery took 2.5 hours. Call center and delivery driver each say different things. Wrong items on order.
Lilian,2,The cookies were freezing solid hard and when heated it was mushy not soft
haneen,1,اللبن في الملك تشيك بايظ
Omar Khattab,1,Took 40 mins to deliver and the food came very cold
Ibrahim Faheem,5,"best order I got from you so far, fires were fresh the bun was fresh and the entire order was really good <3"
amr,1,I didnt received my order
Yathrib,1,الاوردر وصل متاخر جدا و مش كامل
ibrahim,4,"food was very very slow to deliver and i had to contact the hotline but in the end it was all sorter. food was expectedly cold but the food itself outside of that was really good and delicious. some of the finest burgers ive tried, id love to try it ..."
Lojain Amr,1,i i need someone to contact with me asap!!!!
Marwan Tarek,1,cold food late order
Amir,1,Order never arrived I paid visa and didn’t get a refund.
Zeina,1,cold food missing the v7 and very late
Rania Salah,5,N
Rania Salah,5,.
عبدالرحمن سعداوي,1,الاكل كان بارد جدا ومش حلو
Deena,1,Very late it took 1hr45 mins to arrive and the quality was not good
osama,1,Came after 2 hours and everything was freezing!!! And also guess what? Wrong order 😂
Moamen Samak,1,"Missing items in order, very late order and the driver was unprofessional"
Ahmed,1,The order took 2 hours and eventually I had to cancel
YASSIR,3,COLD
Abdelrhman Ramadan,1,الاكل كان في حاجه و جالي تسمم و اخر مره اطلب منهم
Ahmed,1,Missing drinks that I paid for I want support help
Lamees Farag,1,Even the compensation from the branch is totally worthless
Usef,1,"I’m from the USA and I recently tried Munch and Shake, and my experience was disappointing. The wings I ordered were undercooked and practically raw, which was a major letdown. Additionally, the sauces with the nachos had an unpleasant smell, smellin..."
Ibrahim Faheem,5,"best order I got from you so far, fires were fresh the bun was fresh and the entire order was really good <3"
amr,1,I didnt received my order
Yathrib,1,الاوردر وصل متاخر جدا و مش كامل
ibrahim,4,"food was very very slow to deliver and i had to contact the hotline but in the end it was all sorter. food was expectedly cold but the food itself outside of that was really good and delicious. some of the finest burgers ive tried, id love to try it ..."
Lojain Amr,1,i i need someone to contact with me asap!!!!
Marwan Tarek,1,cold food late order
Amir,1,Order never arrived I paid visa and didn’t get a refund.
Zeina,1,cold food missing the v7 and very late
Rania Salah,5,N
Rania Salah,5,.
عبدالرحمن سعداوي,1,الاكل كان بارد جدا ومش حلو
Deena,1,Very late it took 1hr45 mins to arrive and the quality was not good
osama,1,Came after 2 hours and everything was freezing!!! And also guess what? Wrong order 😂
Moamen Samak,1,"Missing items in order, very late order and the driver was unprofessional"
Ahmed,1,The order took 2 hours and eventually I had to cancel
YASSIR,3,COLD
Abdelrhman Ramadan,1,الاكل كان في حاجه و جالي تسمم و اخر مره اطلب منهم
Ahmed,1,Missing drinks that I paid for I want support help
Lamees Farag,1,Even the compensation from the branch is totally worthless
Usef,1,"I’m from the USA and I recently tried Munch and Shake, and my experience was disappointing. The wings I ordered were undercooked and practically raw, which was a major letdown. Additionally, the sauces with the nachos had an unpleasant smell, smellin..."
Basmala Abdou,1,"This was my worst experience i had to wait 2 hours and a half for my order just for it to arrive completely frozen and cold, the mozzarella sticks were very bad too. It was too expensive and so not worth the money. Definitely never ordering again."
Maha Medhat,3,Food was cold
Nada Gabr,1,I didn't receive the order
Omar Bahgat,1,Very very bad expeirence waited for 2 hours and at the end they called and told us that delievery man made an accident and they have to prepare a new one and it's expected to be delivered after more extra hour
Ahmed Elsherbiny,1,"worst restaurant ever delayed for more than 2 hours, very bad customer support, a waste of time"
Hadeer Seddawy,1,"I did an order at 7:07 PM they told me 40-60 mins maximum to be delivered , now its 9:00 PM and still not delivered , they kept telling me that the delivery man is on the way but no one came so far"
Lina ElAidy,1,الميلك شيك غريب ومفيش شاليمو وانا طلبت يبقي مظبوط وبرده سيء!
Mohamed Tamer Nabarawy,1,2:30 hours delivery and customer service respond very late
Alia Hegazy,1,"late delivery. missing items, no replacement."
Farah El-badawi,2,So oily
Ahmed Hisham,1,wings were terrible
Yousuf,1,they removed delivery from 2KM far away from them. the whole 1st Settlement is out of zone although they're literally between 1st and 5th Settlement. they said they will fix it 2 months ago.
Diyala Ahmed,1,Very very bad experience! French frice is so oily and tastes so bad the worst french frice ever ! Too expensive for this quality of food
Kareem,1,I got different fries and the branch told me im getting refunded but I got nth
Fadi Michel Aziz,3,"Well, it tastes good but a little bit expensive."
Nada Kamel,5,
Lubna,5,PERFECTTT
Nada Amin,1,"The fries was open and was eaten from , this is beyond unprofessional"
Jannah,5,The buffalo sandwich is perfect 👌🏻 also they fixed that the chicken needed to be crunchier 👍🏻
Mohamed,1,Food was cold and not fresh
Basmala Abdou,1,"This was my worst experience i had to wait 2 hours and a half for my order just for it to arrive completely frozen and cold, the mozzarella sticks were very bad too. It was too expensive and so not worth the money. Definitely never ordering again."
Maha Medhat,3,Food was cold
Nada Gabr,1,I didn't receive the order
Omar Bahgat,1,Very very bad expeirence waited for 2 hours and at the end they called and told us that delievery man made an accident and they have to prepare a new one and it's expected to be delivered after more extra hour
Ahmed Elsherbiny,1,"worst restaurant ever delayed for more than 2 hours, very bad customer support, a waste of time"
Hadeer Seddawy,1,"I did an order at 7:07 PM they told me 40-60 mins maximum to be delivered , now its 9:00 PM and still not delivered , they kept telling me that the delivery man is on the way but no one came so far"
Lina ElAidy,1,الميلك شيك غريب ومفيش شاليمو وانا طلبت يبقي مظبوط وبرده سيء!
Mohamed Tamer Nabarawy,1,2:30 hours delivery and customer service respond very late
Alia Hegazy,1,"late delivery. missing items, no replacement."
Farah El-badawi,2,So oily
Ahmed Hisham,1,wings were terrible
Yousuf,1,they removed delivery from 2KM far away from them. the whole 1st Settlement is out of zone although they're literally between 1st and 5th Settlement. they said they will fix it 2 months ago.
Diyala Ahmed,1,Very very bad experience! French frice is so oily and tastes so bad the worst french frice ever ! Too expensive for this quality of food
Kareem,1,I got different fries and the branch told me im getting refunded but I got nth
Fadi Michel Aziz,3,"Well, it tastes good but a little bit expensive."
Nada Kamel,5,
Lubna,5,PERFECTTT
Nada Amin,1,"The fries was open and was eaten from , this is beyond unprofessional"
Jannah,5,The buffalo sandwich is perfect 👌🏻 also they fixed that the chicken needed to be crunchier 👍🏻
Mohamed,1,Food was cold and not fresh
Ahmed Tawfeek,1,"The waffle fries were regular fries, the wings were awful and soggy. burger was bad, ironically the only good thing is the bread. the sauce is genuinely DISGUSTING. also the store called to tell me I qill be paying a higher price and after asking for..."
Exotic Doctor,1,I was disappointed the food was so cold and there wasn’t enough sauce no taste! and the delivery man asked for extra 5 le even tho i paid via credit card extra rude
Mohamed Amgad,5,O
Lena Elmangory,5,حلو اوي بجد
Lamees Farag,3,Didn’t receive the fries! Restaurant didn’t even care to call and apologize
Youmna Hegab,2,الاكل واصل بارد جدا
Ahmed Muhammad ElRakaiby,1,The wings were very salty! As if they poured half the salt bag in it!
